269,ADQ,Kodiak Airport,Kodiak,AK,521.58,521.28,2645
270,SUX,Sioux Gateway/Col. Bud Day Field,Sioux City,IA,449.31,449.05,2632
271,SCC,Deadhorse Airport,Deadhorse,AK,399.24,399.01,2605
272,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,528.21,527.91,2600
273,RDD,Redding Municipal,Redding,CA,470.90,470.62,2511
274,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,461.49,461.22,2437
275,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,239.09,238.95,2418
276,JLN,Joplin Regional,Joplin,MO,481.28,481.01,2385
277,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,557.28,556.96,2363
278,GTR,Golden Triangle Regional,Columbus,MS,597.55,597.21,2359
279,TXK,Texarkana Regional-Webb Field,Texarkana,AR,500.64,500.35,2313
280,DBQ,Dubuque Regional,Dubuque,IA,529.79,529.48,2294
281,HVN,Tweed New Haven,New Haven,CT,364.33,364.12,2293
282,CSG,Columbus Airport,Columbus,GA,516.94,516.65,2251
283,ABY,Southwest Georgia Regional,Albany,GA,554.62,554.30,2130
284,OME,Nome Airport,Nome,AK,515.32,515.03,2003
285,OTZ,Ralph Wien Memorial,Kotzebue,AK,468.86,468.59,2001
286,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,497.93,497.65,1907
286,COD,Yellowstone Regional,Cody,WY,493.40,493.12,1907
288,BJI,Bemidji Regional,Bemidji,MN,567.86,567.53,1863
289,HDN,Yampa Valley,Hayden,CO,644.48,644.11,1840
290,PPG,Pago Pago International,Pago Pago,TT,1138.63,1137.97,1811
291,ABR,Aberdeen Regional,Aberdeen,SD,610.53,610.18,1778
292,BQK,Brunswick Golden Isles,Brunswick,GA,513.98,513.69,1741
293,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,133.63,133.55,1732
294,SWO,Stillwater Regional,Stillwater,OK,454.61,454.35,1718
